Unnamed: 0,name,price,brand,model,ref,mvmt,casem,bracem,yop,cond,sex,size,condition
7824,"Audemars Piguet Royal Oak
'Long Index' Dial 'Tropical' Full set 1997 + AP Service 2022","$56,645",Audemars Piguet,Royal Oak,14790ST.OO.0789ST.01,Automatic,Steel,Steel,1997,Very good,Men's watch/Unisex,36 mm,unknown
7825,"Audemars Piguet
Quantieme Perpetual FULL SET - UNPOLISHED","$17,999",Audemars Piguet,unknown,25548,unknown,unknown,unknown,1987,Very good,Men's watch/Unisex,36 mm,unknown
7826,"Audemars Piguet Royal Oak
Brevete","$18,937",Audemars Piguet,Royal Oak,unknown,unknown,unknown,unknown,1990,Very good,Men's watch/Unisex,"33 x 5,5 mm",unknown
7827,"Audemars Piguet Royal Oak
 56175SA","$12,602",Audemars Piguet,Royal Oak,56175SA,Quartz,Gold/Steel,Gold/Steel,1985 (Approximation),Very good,Men's watch/Unisex,33 mm,unknown
7828,"Audemars Piguet Royal Oak Offshore Chronograph
26400IO.OO.A004CA.02","$44,645",Audemars Piguet,Royal Oak Offshore Chronograph,26400IO.OO.A004CA.02,unknown,unknown,unknown,2021 (Approximation),Very good,Men's watch/Unisex,44 mm,unknown
7829,"Audemars Piguet Royal Oak Jumbo
I RARE A-Series I ORG. PAPERS I 1974","$193,960",Audemars Piguet,Royal Oak Jumbo,5402ST,unknown,unknown,unknown,1974,Very good,Men's watch/Unisex,39 mm,unknown
7830,"Audemars Piguet Royal Oak Selfwinding
Boutique Edition Blue Dial Roségold 41mm Box & Papers","$99,734",Audemars Piguet,Royal Oak Selfwinding,15400OR.OO.1220OR.03,unknown,unknown,unknown,2016,Very good,Men's watch/Unisex,41 mm,unknown
7831,"Audemars Piguet Royal Oak Offshore Chronograph
25940OK.OO.D002CA.01","$32,709",Audemars Piguet,Royal Oak Offshore Chronograph,25940OK.OO.D002CA.01,unknown,unknown,unknown,2004,Good,Men's watch/Unisex,42 mm,unknown
7832,"Audemars Piguet Royal Oak Chronograph
Leo Messi Platin","$136,329",Audemars Piguet,Royal Oak Chronograph,26325PL.OO.D310CR.01,unknown,unknown,unknown,2012,Very good,Men's watch/Unisex,41 mm,unknown
7833,"Audemars Piguet Royal Oak
15500ST.OO.1220ST.01","$52,782",Audemars Piguet,Royal Oak,15500ST.OO.1220ST.01,unknown,unknown,unknown,2020 (Approximation),Very good,Men's watch/Unisex,41 mm,unknown
7834,"Audemars Piguet Royal Oak Offshore Chronograph
26400AU.OO.A002CA.01","$29,042",Audemars Piguet,Royal Oak Offshore Chronograph,26400AU.OO.A002CA.01,unknown,unknown,unknown,2012,Very good,Men's watch/Unisex,44 mm,unknown
7835,"Audemars Piguet Royal Oak Selfwinding
Blue Dial","$44,760",Audemars Piguet,Royal Oak Selfwinding,15400ST.OO.1220ST.03,unknown,unknown,unknown,2013,Very good,Men's watch/Unisex,41 mm,unknown
7836,"Audemars Piguet
Votre Quantieme Perpetuel Chronographe porte le numero dexclusivite","$48,590",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,1993 (Approximation),Very good,Men's watch/Unisex,unknown,unknown
7837,"Audemars Piguet Royal Oak
Black Ceramic Auto 34mm Black Grand Tapisserie Rose Index Dial Ceramic Bracelet","$80,224",Audemars Piguet,Royal Oak,77350CE.OO.1266CE.01,unknown,unknown,unknown,2021,Very good,Women's watch,34 mm,unknown
7838,"Audemars Piguet
Barichello Limitad edition","$51,072",Audemars Piguet,unknown,26071IK.OO.D002CA.01,unknown,unknown,unknown,2006 (Approximation),Very good,Men's watch/Unisex,unknown,unknown
7839,"Audemars Piguet Royal Oak Offshore Chronograph
26170ST.OO.D091CR.01","$29,049",Audemars Piguet,Royal Oak Offshore Chronograph,26170ST.OO.D091CR.01,unknown,unknown,unknown,2012,Very good,Men's watch/Unisex,42 x 54 mm,unknown
7840,"Audemars Piguet Royal Oak Chronograph
Full Set - Very Rare","$38,292",Audemars Piguet,Royal Oak Chronograph,26300st.oo.1110st.05,unknown,unknown,unknown,2012,Very good,Men's watch/Unisex,39 mm,unknown
7841,"Audemars Piguet Royal Oak Selfwinding
15300ST.OO.1220ST.03","$41,800",Audemars Piguet,Royal Oak Selfwinding,15300ST.OO.1220ST.03,unknown,unknown,unknown,2007,Very good,Men's watch/Unisex,39 mm,unknown
7842,"Audemars Piguet Royal Oak
15189ST","$25,418",Audemars Piguet,Royal Oak,15189ST,unknown,unknown,unknown,2005,Very good,Men's watch/Unisex,36 x 46 mm,unknown
7843,"Audemars Piguet Royal Oak Chronograph
26240OR.OO.D002CR.01","$79,191",Audemars Piguet,Royal Oak Chronograph,26240OR.OO.D002CR.01,unknown,unknown,unknown,2022,Very good,Men's watch/Unisex,41 mm,unknown
7844,"Audemars Piguet Royal Oak Offshore Chronograph
26238OK.OO.A002CA.01","$74,600",Audemars Piguet,Royal Oak Offshore Chronograph,26238OK.OO.A002CA.01,unknown,unknown,unknown,2023,Unworn,Men's watch/Unisex,unknown,unknown
7845,"Audemars Piguet Royal Oak Offshore Chronograph
26170ST.OO.D305CR.01","$24,491",Audemars Piguet,Royal Oak Offshore Chronograph,26170ST.OO.D305CR.01,unknown,unknown,unknown,2011,Very good,Men's watch/Unisex,42 x 54 mm,unknown
7846,"Audemars Piguet Royal Oak Offshore Chronograph
26420TI.OO.A027CA.01","$43,612",Audemars Piguet,Royal Oak Offshore Chronograph,26420TI.OO.A027CA.01,unknown,unknown,unknown,2022,Very good,Men's watch/Unisex,43 mm,unknown
7847,"Audemars Piguet Royal Oak Offshore Diver
15720ST.OO.A027CA.01","$32,135",Audemars Piguet,Royal Oak Offshore Diver,15720ST.OO.A027CA.01,unknown,unknown,unknown,2022,Good,Men's watch/Unisex,42 mm,unknown
7848,"Audemars Piguet Royal Oak
15500OR.OO.D002CR.01","$58,963",Audemars Piguet,Royal Oak,15500OR.OO.D002CR.01,unknown,unknown,unknown,2022,Unworn,Men's watch/Unisex,41 mm,unknown
7849,"Audemars Piguet Royal Oak Offshore Lady
26231ST.ZZ.D002CA.01","$38,906",Audemars Piguet,Royal Oak Offshore Lady,26231ST.ZZ.D002CA.01,unknown,unknown,unknown,2019 (Approximation),Very good,Women's watch,37 mm,unknown
7850,"Audemars Piguet Royal Oak Offshore Chronograph
26170TI.OO.1000TI.01","$29,519",Audemars Piguet,Royal Oak Offshore Chronograph,26170TI.OO.1000TI.01,unknown,unknown,unknown,2013 (Approximation),Good,Men's watch/Unisex,42 x 54 mm,unknown
7851,"Audemars Piguet Code 11.59
15210OR.OO.A099CR.01","$26,129",Audemars Piguet,Code 11.59,15210OR.OO.A099CR.01,unknown,unknown,unknown,2021 (Approximation),Good,Men's watch/Unisex,41 mm,unknown
7852,"Audemars Piguet Royal Oak Selfwinding
GREY DIAL","$45,480",Audemars Piguet,Royal Oak Selfwinding,15400ST.OO.1220ST.04,unknown,unknown,unknown,2017,Very good,Men's watch/Unisex,41 mm,unknown
7853,"Audemars Piguet Royal Oak Selfwinding
15400ST.OO.1220ST.03","$46,941",Audemars Piguet,Royal Oak Selfwinding,15400ST.OO.1220ST.03,unknown,unknown,unknown,2016,Very good,Men's watch/Unisex,41 mm,unknown
7854,"Audemars Piguet Royal Oak
Foundation Time for the Royal Oak","$109,263",Audemars Piguet,Royal Oak,15100ST.OO.0789ST.01,unknown,unknown,unknown,2000,Unworn,Men's watch/Unisex,36 mm,unknown
7855,"Audemars Piguet Royal Oak Chronograph
26331ST.OO.1220ST.01","$56,117",Audemars Piguet,Royal Oak Chronograph,26331ST.OO.1220ST.01,unknown,unknown,unknown,2020,Very good,Men's watch/Unisex,41 mm,unknown
7856,"Audemars Piguet Royal Oak Chronograph
25860ST.00.1110ST","$49,351",Audemars Piguet,Royal Oak Chronograph,25860ST.00.1110ST,unknown,unknown,unknown,1999,Very good,Men's watch/Unisex,39 mm,unknown
7857,"Audemars Piguet Royal Oak Tourbillon
26530TI.OO.1220TI.01","$228,965",Audemars Piguet,Royal Oak Tourbillon,26530TI.OO.1220TI.01,unknown,unknown,unknown,2021,Unworn,Men's watch/Unisex,41 mm,unknown
7858,"Audemars Piguet Royal Oak Offshore Lady
26283ST.OO.D010CA.01","$28,451",Audemars Piguet,Royal Oak Offshore Lady,26283ST.OO.D010CA.01,unknown,unknown,unknown,2012,Very good,Women's watch,37 mm,unknown
7859,"Audemars Piguet Royal Oak Offshore
25995IP.OO.1000TI.01","$28,578",Audemars Piguet,Royal Oak Offshore,25995IP.OO.1000TI.01,unknown,unknown,unknown,2003,Very good,Men's watch/Unisex,42 mm,unknown
7860,"Audemars Piguet Royal Oak Lady
18k Lady","$24,675",Audemars Piguet,Royal Oak Lady,6007BA,unknown,unknown,unknown,1983,Good,Women's watch,26 mm,unknown
7861,"Audemars Piguet Royal Oak Lady
diamond 33mm rose gold","$31,562",Audemars Piguet,Royal Oak Lady,67651OR.ZZ.D010CA.01,unknown,unknown,unknown,2020,Unworn,Women's watch,33 mm,unknown
7862,"Audemars Piguet Royal Oak Selfwinding
15400ST.OO.1220ST.02","$36,311",Audemars Piguet,Royal Oak Selfwinding,15400ST.OO.1220ST.02,unknown,unknown,unknown,2017,Very good,Men's watch/Unisex,41 x 9.80 mm,unknown
7863,"Audemars Piguet Royal Oak Chronograph
26331ST.OO.1220ST.01","$60,478",Audemars Piguet,Royal Oak Chronograph,26331ST.OO.1220ST.01,unknown,unknown,unknown,2021,Very good,Men's watch/Unisex,41 mm,unknown
7864,"Audemars Piguet Royal Oak Offshore Diver
15720ST.OO.A027CA.01","$32,652",Audemars Piguet,Royal Oak Offshore Diver,15720ST.OO.A027CA.01,unknown,unknown,unknown,2022,Very good,Men's watch/Unisex,42 mm,unknown
7865,"Audemars Piguet Royal Oak
4100BA","$58,908",Audemars Piguet,Royal Oak,4100BA,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,36 mm,unknown
7866,"Audemars Piguet Royal Oak Chronograph
Platinum & Titanium","$118,836",Audemars Piguet,Royal Oak Chronograph,26331IP.OO.1220IP.01,unknown,unknown,unknown,2018,Unworn,Men's watch/Unisex,41 mm,unknown
7867,"Audemars Piguet Royal Oak Offshore Chronograph
2022 NEW ROYAL OAK OFFSHORE ROSE PINK GOLD IN RARE COLLECTORS SET","$83,263",Audemars Piguet,Royal Oak Offshore Chronograph,26420RO.OO.A002CA.01,unknown,unknown,unknown,2022,Unworn,Men's watch/Unisex,43 mm,unknown
7868,"Audemars Piguet Royal Oak
14790TR","$40,169",Audemars Piguet,Royal Oak,unknown,unknown,unknown,unknown,1994,Fair,Men's watch/Unisex,36 mm,unknown
7869,"Audemars Piguet Royal Oak Perpetual Calendar
Extract from the Archives","$109,699",Audemars Piguet,Royal Oak Perpetual Calendar,25654BA,unknown,unknown,unknown,1997,Very good,Men's watch/Unisex,39 mm,unknown
7870,"Audemars Piguet Royal Oak Day-Date
25572SA.0.0477SA.01","$21,691",Audemars Piguet,Royal Oak Day-Date,25572SA.0.0477SA.01,unknown,unknown,unknown,Unknown,Good,Men's watch/Unisex,36 mm,unknown
7871,"Audemars Piguet Royal Oak Offshore Chronograph
T3 Limited","$30,873",Audemars Piguet,Royal Oak Offshore Chronograph,25863TI.OO.A001CU.01,unknown,unknown,unknown,2003,Very good,Men's watch/Unisex,48 mm,unknown
7872,"Audemars Piguet Royal Oak Selfwinding
15400or.oo.1220or.01","$114,654",Audemars Piguet,Royal Oak Selfwinding,15400or.oo.1220or.01,unknown,unknown,unknown,2019,Very good,Men's watch/Unisex,41 mm,unknown
7873,"Audemars Piguet Royal Oak
4100BA","$34,316",Audemars Piguet,Royal Oak,4100BA,unknown,unknown,unknown,1988 (Approximation),Very good,Men's watch/Unisex,36 mm,unknown
7874,"Audemars Piguet Royal Oak Selfwinding
15300OR.OO.D002CR.01","$44,645",Audemars Piguet,Royal Oak Selfwinding,15300OR.OO.D002CR.01,unknown,unknown,unknown,2007,Very good,Men's watch/Unisex,39 mm,unknown
7875,"Audemars Piguet Royal Oak Offshore Chronograph
Deutsche Auslieferung","$44,645",Audemars Piguet,Royal Oak Offshore Chronograph,26405CE.OO.A002CA.01,unknown,unknown,unknown,2017,Very good,Men's watch/Unisex,44 mm,unknown
7876,"Audemars Piguet Royal Oak Selfwinding
NEW","$53,827",Audemars Piguet,Royal Oak Selfwinding,15500ST.OO.1220ST.04,unknown,unknown,unknown,2021,Unworn,Men's watch/Unisex,41 mm,unknown
7877,"Audemars Piguet Royal Oak Offshore Chronograph
Navy New Service","$26,282",Audemars Piguet,Royal Oak Offshore Chronograph,26170ST.OO.D305CR.01,unknown,unknown,unknown,2005,Very good,Men's watch/Unisex,42 x 54 mm,unknown
7878,"Audemars Piguet Royal Oak Jumbo
Unpolished 2006",Price on request,Audemars Piguet,Royal Oak Jumbo,15202ST.OO.0944ST.01,unknown,unknown,unknown,2006,Good,Men's watch/Unisex,39 mm,unknown
7879,"Audemars Piguet Royal Oak Selfwinding
Rose Gold - AP Service 2022","$50,835",Audemars Piguet,Royal Oak Selfwinding,15400or.oo.d088cr.01,unknown,unknown,unknown,2014,Very good,Men's watch/Unisex,41 mm,unknown
7880,"Audemars Piguet Royal Oak Offshore Diver
Box & Papers","$27,068",Audemars Piguet,Royal Oak Offshore Diver,15710ST.OO.A002CA.01,unknown,unknown,unknown,2015,Very good,Men's watch/Unisex,42 mm,unknown
7881,"Audemars Piguet Royal Oak Offshore Chronograph
Full Set","$45,736",Audemars Piguet,Royal Oak Offshore Chronograph,26400RO.OO.A002CA.01,unknown,unknown,unknown,2015,Very good,Men's watch/Unisex,44 mm,unknown
7882,"Audemars Piguet
Dual Time • Sehr schönes Full Set 1991 •","$13,715",Audemars Piguet,unknown,25685,unknown,unknown,unknown,1991,Very good,Men's watch/Unisex,36 mm,unknown
7883,"Audemars Piguet Royal Oak
6009 ST Quartz Royal Oak","$22,793",Audemars Piguet,Royal Oak,unknown,Quartz,Steel,Steel,1985 (Approximation),Very good,Men's watch/Unisex,unknown,unknown
7884,"Audemars Piguet
25681 BA THE CLOVER PERPETUAL CALENDAR","$84,344",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,1990,Very good,Men's watch/Unisex,unknown,unknown
7885,"Audemars Piguet Royal Oak Day-Date
25572BA.OO.0789BA.01","$38,964",Audemars Piguet,Royal Oak Day-Date,25572BA.OO.0789BA.01,Automatic,Yellow gold,Yellow gold,1990 (Approximation),Good,Men's watch/Unisex,unknown,unknown
7886,"Audemars Piguet Royal Oak
15500ST.OO.1220ST.03","$43,440",Audemars Piguet,Royal Oak,15500ST.OO.1220ST.03,Automatic,Steel,Steel,2022,Unworn,Men's watch/Unisex,41 mm,unknown
7887,"Audemars Piguet Royal Oak Dual Time
26120OR.OO.D002CR.01","$55,078",Audemars Piguet,Royal Oak Dual Time,26120OR.OO.D002CR.01,Automatic,Rose gold,unknown,2016,Very good,Men's watch/Unisex,39 mm,unknown
7888,"Audemars Piguet Royal Oak Chronograph
25860BA.0.1110BA.01","$102,030",Audemars Piguet,Royal Oak Chronograph,25860BA.0.1110BA.01,unknown,unknown,unknown,1998,Very good,unknown,unknown,unknown
7889,"Audemars Piguet Royal Oak Dual Time
25730ST","$49,339",Audemars Piguet,Royal Oak Dual Time,25730ST,Automatic,Steel,Steel,1999,Very good,Men's watch/Unisex,36 mm,unknown
7890,"Audemars Piguet Royal Oak Offshore Chronograph
TROPICAL","$90,668",Audemars Piguet,Royal Oak Offshore Chronograph,25721ST,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,42 x 44 mm,unknown
7891,"Audemars Piguet Royal Oak Selfwinding
AUTHORISED FULL SERVICE 11-21","$75,748",Audemars Piguet,Royal Oak Selfwinding,15300ST.OO.1220ST.02,unknown,unknown,unknown,2007,Very good,Men's watch/Unisex,39 mm,unknown
7892,"Audemars Piguet Royal Oak Selfwinding
15551ST.ZZ.1356ST.03","$76,895",Audemars Piguet,Royal Oak Selfwinding,15551ST.ZZ.1356ST.03,unknown,unknown,unknown,2022,Unworn,unknown,37 mm,unknown
7893,"Audemars Piguet
Jumbo Vintage - AP Extract of Register - Year 1982","$20,085",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,1982,Very good,Men's watch/Unisex,28 x 38 mm,unknown
7894,"Audemars Piguet Royal Oak Chronograph
41 YellowGold Blue Boutique Edition","$154,927",Audemars Piguet,Royal Oak Chronograph,26320BA.OO.1220BA.02,unknown,unknown,unknown,2017,New,Men's watch/Unisex,41 mm,unknown
7895,"Audemars Piguet Royal Oak Double Balance Wheel Openworked
37 Double Balance Skeleton Openworked NEU 2020 EU","$206,573",Audemars Piguet,Royal Oak Double Balance Wheel Openworked,15467OR.OO.1256OR.01,unknown,unknown,unknown,2020,New,unknown,37 mm,unknown
7896,"Audemars Piguet Royal Oak Offshore Chronograph
42 Carbon Bumble Bee","$24,549",Audemars Piguet,Royal Oak Offshore Chronograph,26176FO.OO.D101CR.02,unknown,unknown,unknown,2013,Very good,Men's watch/Unisex,42 mm,unknown
7897,"Audemars Piguet Royal Oak Offshore Chronograph
Chrono 43 Titan Blue NEW 2022","$45,896",Audemars Piguet,Royal Oak Offshore Chronograph,26420TI.OO.A027CA.01,unknown,unknown,unknown,2022,New,Men's watch/Unisex,43 mm,unknown
7898,"Audemars Piguet Royal Oak Jumbo
Salmon WhiteGold NEW 2022 Ref.15202BC","$252,481",Audemars Piguet,Royal Oak Jumbo,15202BC.OO.1240BC.01,unknown,unknown,unknown,2022,New,Men's watch/Unisex,39 mm,unknown
7899,"Audemars Piguet Royal Oak
Steel Grey Ref.15500ST","$51,176",Audemars Piguet,Royal Oak,15500ST.OO.1220ST.02,unknown,unknown,unknown,2021 (Approximation),Very good,Men's watch/Unisex,41 mm,unknown
7900,"Audemars Piguet
Yellow Gold Diamond Set Dress Watch","$6,272",Audemars Piguet,unknown,Audemars Piguet,unknown,unknown,unknown,Unknown,Very good,Women's watch,32 mm,unknown
7901,"Audemars Piguet Royal Oak Chronograph
Ref.26320OR - Year 2014","$65,992",Audemars Piguet,Royal Oak Chronograph,26320OR.OO.D002CR.01,Automatic,Rose gold,unknown,2014,Very good,Men's watch/Unisex,41 mm,unknown
7902,"Audemars Piguet Royal Oak Selfwinding
15400ST - NEW 2018 - FULL STICKERS","$60,828",Audemars Piguet,Royal Oak Selfwinding,15400st.oo.1220st.01,Automatic,Steel,Steel,2018,New,Men's watch/Unisex,41 mm,unknown
7903,"Audemars Piguet Royal Oak Chronograph
Ref.26022OR - Year 2005","$43,612",Audemars Piguet,Royal Oak Chronograph,26022OR.OO.D088CR.01,Automatic,Rose gold,Crocodile skin,2005,Very good,Men's watch/Unisex,39 mm,unknown
7904,"Audemars Piguet Royal Oak Offshore Chronograph
Tropical Dial","$26,397",Audemars Piguet,Royal Oak Offshore Chronograph,25770ST.OO.D001IN.02,Automatic,Steel,Leather,1998 (Approximation),Very good,Men's watch/Unisex,42 mm,unknown
7905,"Audemars Piguet Royal Oak Jumbo
Ref.14802ST - Extract of Register - Year 1993","$113,622",Audemars Piguet,Royal Oak Jumbo,14802ST,Automatic,Steel,Steel,1993,Very good,Men's watch/Unisex,39 mm,unknown
7906,"Audemars Piguet Royal Oak Chronograph
City Of Sails - Ref.25979ST - AP Extract of Archives - Year 2006","$29,840",Audemars Piguet,Royal Oak Chronograph,25979ST.0.0002CA.01,Automatic,Steel,Rubber,2006,Very good,Men's watch/Unisex,39 mm,unknown
7907,"Audemars Piguet Royal Oak
Ref.15000ST - BLUE COSMOS DIAL - EXTRACT OF REGISTER","$26,397",Audemars Piguet,Royal Oak,15000ST,Automatic,Steel,Steel,2003,Very good,Women's watch,33 mm,unknown
7908,"Audemars Piguet Royal Oak Dual Time
Steel Dual Time 39mm Top Condition (with Archive Extract from AP)","$45,896",Audemars Piguet,Royal Oak Dual Time,26120ST.OO.1220ST.01,unknown,unknown,unknown,2009,Very good,Men's watch/Unisex,39 mm,unknown
7909,"Audemars Piguet Royal Oak
Blue Dial Top Condition Full Set with Box&Papers","$34,419",Audemars Piguet,Royal Oak,14790ST,unknown,unknown,unknown,2001,Very good,Men's watch/Unisex,36 mm,unknown
7910,"Audemars Piguet
White Gold Mother of Pearl Dial Diamond Set Cocktail Watch 67366BC/Z/0010RA/01","$7,262",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,Unknown,Unworn,Women's watch,21.5 mm,unknown
7911,"Audemars Piguet Royal Oak Selfwinding
•41mm Grey Dial • Aus 2018 •","$56,811",Audemars Piguet,Royal Oak Selfwinding,15400ST.OO.1220ST.04,unknown,unknown,unknown,2018,Very good,Men's watch/Unisex,41 mm,unknown
7912,"Audemars Piguet Royal Oak Offshore Lady
Limited Boutique Edition Chrongraph 26311ST Lady Diamond Bezel","$34,419",Audemars Piguet,Royal Oak Offshore Lady,26113ST.ZZ.D030CR.01,unknown,unknown,unknown,2008,Very good,Women's watch,37 mm,unknown
7913,"Audemars Piguet Royal Oak Offshore Lady
37MM Chronograph Diamond Bezel Extract","$28,118",Audemars Piguet,Royal Oak Offshore Lady,26048SK.ZZ.D002CA.01,unknown,unknown,unknown,2014,Very good,Women's watch,37 mm,unknown
7914,"Audemars Piguet Royal Oak Offshore Chronograph
12/2021 New Chronograph 26420SO","$45,896",Audemars Piguet,Royal Oak Offshore Chronograph,26420SO.OO.A002CA.01,unknown,unknown,unknown,2021,Unworn,Men's watch/Unisex,43 mm,unknown
7915,"Audemars Piguet Royal Oak Selfwinding
AP Warranty Top Condition 15400OR 18K Roségold","$97,439",Audemars Piguet,Royal Oak Selfwinding,15400or.oo.1220or.01,unknown,unknown,unknown,2018,Very good,Men's watch/Unisex,41 mm,unknown
7916,"Audemars Piguet
Genève 18K White Gold watch 57.2 GM","$4,400",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,Unknown,Good,unknown,23 mm,unknown
7917,"Audemars Piguet
Vintage Watch 18K Yellow Gold with factory Diamonds","$4,700",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,Unknown,Good,unknown,22.5 x 23 mm,unknown
7918,"Audemars Piguet
Vintage 18K Yellow Gold ladies watch w/Diamonds","$4,900",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,Unknown,Good,unknown,18 x 21 mm,unknown
7919,"Audemars Piguet
Vintage Watch 18K Yellow Gold with Diamonds","$4,900",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,Unknown,Good,unknown,15 x 27 mm,unknown
7920,"Audemars Piguet
Vintage 18k Gold Factory-Diamonds Papers Feb. 1992 Ref. BA 56360/002","$6,875",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,1992,Good,Men's watch/Unisex,39 x 21 mm,unknown
7921,"Audemars Piguet Royal Oak Jumbo
yellow gold first series 15202BA","$103,178",Audemars Piguet,Royal Oak Jumbo,15202BA.OO.0944BA.01,unknown,unknown,unknown,2000 (Approximation),Very good,Men's watch/Unisex,39 mm,unknown
7922,"Audemars Piguet Royal Oak Offshore
26067 factory diamonds","$113,622",Audemars Piguet,Royal Oak Offshore,26067BA.ZZ.D088CR.01,unknown,unknown,unknown,Unknown,Very good,unknown,unknown,unknown
7923,"Audemars Piguet Royal Oak
36mm 14800tr Tantalum/gold very rare SALMON dial","$34,316",Audemars Piguet,Royal Oak,14800,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,unknown,unknown
7924,"Audemars Piguet Royal Oak
36mm 14800tr Tantalum/gold very rare SALMON dial","$34,316",Audemars Piguet,Royal Oak,14800,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,unknown,unknown
7925,"Audemars Piguet Royal Oak Chronograph
City Of Sails Royal Oak Limited 300","$63,123",Audemars Piguet,Royal Oak Chronograph,25860IS.O.1110IS.01,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,unknown,unknown
7926,"Audemars Piguet Royal Oak Perpetual Calendar
25800 34 mm gold","$79,191",Audemars Piguet,Royal Oak Perpetual Calendar,unknown,unknown,unknown,unknown,Unknown,Very good,Men's watch/Unisex,unknown,unknown
7927,"Audemars Piguet
Geneve 18K Yellow Gold Watch 58.5 GM","$7,500",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,Unknown,Good,unknown,32 x 25 mm,unknown
7928,"Audemars Piguet
18K White Gold watch 102.3 GM","$7,700",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,Unknown,Good,unknown,32 x 33.5 mm,unknown
7929,"Audemars Piguet Royal Oak
18K Yellow Gold & Stainless Steel w/Diamonds","$7,800",Audemars Piguet,Royal Oak,unknown,unknown,unknown,unknown,Unknown,Good,unknown,25 mm,unknown
7930,"Audemars Piguet
Dream White Gold Diamond Set 67496BC.ZZ.A011SU.01","$13,864",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,Unknown,Very good,Women's watch,25 mm,unknown
7931,"Audemars Piguet
18K Yellow Gold Automatic Watch 92.0 GM","$8,500",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,Unknown,Good,unknown,31 mm,unknown
7932,"Audemars Piguet Royal Oak Chronograph
39mm kasparaov service 2017 ap acier like new série F extrait 2023","$37,300",Audemars Piguet,Royal Oak Chronograph,25860ST.OO.1110ST.03,unknown,unknown,unknown,2007,Very good,Men's watch/Unisex,39 mm,unknown
7933,"Audemars Piguet Royal Oak Offshore Chronograph
42mm acier box and extrait 2023 série F 2007","$24,675",Audemars Piguet,Royal Oak Offshore Chronograph,25940SK.OO.D002CA.02.A,unknown,unknown,unknown,2007,Very good,Men's watch/Unisex,42 mm,unknown
7934,"Audemars Piguet Royal Oak Chronograph
39mm white gold / extrait de registre / service audemars piguet 2022","$49,339",Audemars Piguet,Royal Oak Chronograph,25960BC.OO.1185BC.01,unknown,unknown,unknown,2003,Very good,Men's watch/Unisex,39 mm,unknown
7935,"Audemars Piguet Royal Oak Chronograph
26331 Blue Boutique _ Full Set From 2021 _ New With All Stickers","$72,190",Audemars Piguet,Royal Oak Chronograph,26331ST.OO.1220ST.01,unknown,unknown,unknown,2021,New,Men's watch/Unisex,41 mm,unknown
7936,"Audemars Piguet
K1072","$13,150",Audemars Piguet,unknown,unknown,unknown,unknown,unknown,1955 (Approximation),Very good,Men's watch/Unisex,35 mm,unknown
7937,"Audemars Piguet Millenary
Day-Date Automatic watch 18K Yellow Gold","$11,500",Audemars Piguet,Millenary,unknown,unknown,unknown,unknown,Unknown,Good,unknown,39 x 35 mm,unknown
7938,"Audemars Piguet Royal Oak
18K Yellow Gold watch w/date","$12,700",Audemars Piguet,Royal Oak,unknown,unknown,unknown,unknown,Unknown,Good,unknown,28 x 31 mm,unknown
7939,"Audemars Piguet Royal Oak Offshore Diver
Scuba Boutique","$32,717",Audemars Piguet,Royal Oak Offshore Diver,15701ST.OO.D002CA.03,unknown,unknown,unknown,2010,Very good,Men's watch/Unisex,42 mm,unknown
7940,"Audemars Piguet Royal Oak Selfwinding
15400ST.OO.1220ST.02","$63,925",Audemars Piguet,Royal Oak Selfwinding,15400ST.OO.1220ST.02,unknown,unknown,unknown,2017,Very good,Men's watch/Unisex,41 x 9.80 mm,unknown
7941,"Audemars Piguet Royal Oak Jumbo
5402ST","$192,545",Audemars Piguet,Royal Oak Jumbo,5402ST,unknown,unknown,unknown,1972,Very good,Men's watch/Unisex,39 mm,unknown
7942,"Audemars Piguet Royal Oak Chronograph
26320ST.OO.1220ST.03","$79,021",Audemars Piguet,Royal Oak Chronograph,26320ST.OO.1220ST.03,unknown,unknown,unknown,2016,Very good,Men's watch/Unisex,41 mm,unknown
7943,"Audemars Piguet Royal Oak Selfwinding
Oak/Extract from archives","$63,455",Audemars Piguet,Royal Oak Selfwinding,15300ST.OO.1220ST.02,unknown,unknown,unknown,2006,Very good,Men's watch/Unisex,39 mm,unknown
